"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZBTB17",291.085915944228,0.351971125113796,0.192425217602158,1.82913201034545,0.0673798346448,0.432275869643672
"HSPB7",2.34929308865886,-0.540832681075892,1.35235655594478,-0.399918703908716,0.68921639559875,NA
"CLCNKA",0.232449857580213,1.53627498474041,4.04469192513261,0.379824968916525,0.704075346403225,NA
"CLCNKB",0.618655934748451,-2.79159622551172,2.89527581450255,-0.96419008217749,0.334950635811018,NA
"FAM131C",24.2028207946703,-0.233060729161745,0.448300587334289,-0.519876029044675,0.603149983778306,0.895909941765834
"EPHA2",2653.74590185439,0.490160424218157,0.118303675254148,4.14323919493761,3.42434455139019e-05,0.0020247419448438
"ARHGEF19",88.2364155134098,-0.167253068664967,0.290032790806229,-0.57666951450572,0.564162730086308,0.884323692499281
"FBXO42",278.244591309616,0.0159394379910531,0.155542518373772,0.102476404250768,0.918378540917342,0.981744578995241
"SZRD1",2238.55346559908,0.11346661814114,0.100122075009441,1.13328272641613,0.257095543298153,0.704356070552168
"SPATA21",0,NA,NA,NA,NA,NA
"NECAP2",1074.53284170777,0.319914617618583,0.105390150958987,3.03552670441739,0.00240115959023085,0.0634509066167389
"CROCCP3",24.3792510488412,-0.248148816987403,0.424965132382803,-0.583927475640223,0.559269106866815,0.882835720405418
"MIR3675",0,NA,NA,NA,NA,NA
"NBPF1",399.224606216323,-0.0189513925014287,0.135120722580198,-0.140255263142043,0.888458309696844,0.974224470714535
"CROCCP2",80.9211339421705,-0.0405049963186026,0.273677971841299,-0.148002398753856,0.882340875160884,0.97226932887915
"MST1P2",17.8042507304336,0.20651993980651,0.494247960711701,0.417846822289622,0.676059114821944,0.915636416900074
"ESPNP",0.154966571720142,1.20288093935691,4.05161426316908,0.29688930416985,0.766551022253284,NA
"MST1L",8.182509162212,0.212527309661517,0.769593777062443,0.276155182117946,0.782428878646534,NA
"CROCC",98.6343192637911,0.0482338738100946,0.233522263546261,0.206549358838925,0.836361813076348,0.961377027856917
"MFAP2",1067.46602343427,0.174335404891812,0.117132906661394,1.48835549173025,0.136657167772286,0.568506017656911
